geocodigo,edad,poblacion
06101051005,0 a 5,11
06101061001,0 a 5,287
06101061002,0 a 5,54
06101061003,0 a 5,111
06101061004,0 a 5,37
06101061005,0 a 5,94
06101061006,0 a 5,48
06101061007,0 a 5,73
06101061008,0 a 5,41
06101061009,0 a 5,38
06101071001,0 a 5,216
06101071002,0 a 5,139
06101071003,0 a 5,114
06101071004,0 a 5,176
06101071005,0 a 5,23
06101071006,0 a 5,105
06101071007,0 a 5,54
06101081001,0 a 5,52
06101081002,0 a 5,83
06101081003,0 a 5,129
06101081004,0 a 5,155
06101081005,0 a 5,104
06101081006,0 a 5,96
06101081007,0 a 5,93
06101091001,0 a 5,131
06101091002,0 a 5,93
06101091003,0 a 5,272
06101091004,0 a 5,169
06101091005,0 a 5,113
06101091006,0 a 5,46
06101091007,0 a 5,481
06101091008,0 a 5,1046
06101092004,0 a 5,0
06101101001,0 a 5,185
06101101002,0 a 5,223
06101101003,0 a 5,180
06101101004,0 a 5,364
06101102003,0 a 5,0
06101102007,0 a 5,17
06101102009,0 a 5,0
06101102015,0 a 5,14
06101111001,0 a 5,150
06101111002,0 a 5,286
06101111003,0 a 5,84
06101111004,0 a 5,233
06101111005,0 a 5,402
06101111006,0 a 5,6
06101112015,0 a 5,4
06101122001,0 a 5,0
06101122002,0 a 5,11
06101122008,0 a 5,7
06101122901,0 a 5,0
06101131001,0 a 5,0
06101132005,0 a 5,37
06101132008,0 a 5,0
06101132013,0 a 5,16
06101132014,0 a 5,55
06101141001,0 a 5,651
06101141002,0 a 5,96
06101141003,0 a 5,94
06101142010,0 a 5,0
06101142011,0 a 5,6
06101142013,0 a 5,0
06101151001,0 a 5,1288
06101151002,0 a 5,74
06101151003,0 a 5,50
06101151004,0 a 5,394
06101151005,0 a 5,165
06101151006,0 a 5,105
06101151007,0 a 5,189
06101151008,0 a 5,230
06101151009,0 a 5,597
06101151010,0 a 5,306
06101161001,0 a 5,704
06101161002,0 a 5,574
06101161003,0 a 5,110
06101161004,0 a 5,590
06101161005,0 a 5,418
06101161006,0 a 5,152
06101161007,0 a 5,183
06101171001,0 a 5,64
06101171002,0 a 5,78
06101171003,0 a 5,261
06101171004,0 a 5,218
06101171005,0 a 5,534
06101171006,0 a 5,38
06101182001,0 a 5,69
06101182002,0 a 5,42
06101182005,0 a 5,26
06101182006,0 a 5,9
06101182015,0 a 5,46
06101991999,0 a 5,52
06102011001,0 a 5,158
06102011002,0 a 5,309
06102012001,0 a 5,47
06102012002,0 a 5,0
06102012004,0 a 5,18
06102012006,0 a 5,55
06102012009,0 a 5,5
06102012014,0 a 5,5
06102012015,0 a 5,0
06102012018,0 a 5,4
06102021001,0 a 5,8
06102022002,0 a 5,0
06102022003,0 a 5,40
06102022005,0 a 5,4
06102022007,0 a 5,48
06102022012,0 a 5,39
06102022013,0 a 5,15
06102022016,0 a 5,12
06102022017,0 a 5,44
06102022019,0 a 5,12
06102022020,0 a 5,0
06102022901,0 a 5,0
06102032008,0 a 5,0
06102032011,0 a 5,0
06102991999,0 a 5,0
06103011001,0 a 5,16
06103012003,0 a 5,77
06103012004,0 a 5,85
06103021001,0 a 5,106
06103022002,0 a 5,13
06103031001,0 a 5,85
06103032001,0 a 5,43
06103042005,0 a 5,49
06103991999,0 a 5,0
06104011001,0 a 5,90
06104012002,0 a 5,56
06104012006,0 a 5,15
06104022006,0 a 5,89
06104032006,0 a 5,74
06104032008,0 a 5,67
06104041001,0 a 5,93
06104042013,0 a 5,34
06104042015,0 a 5,0
06104051001,0 a 5,0
06104052004,0 a 5,0
06104052005,0 a 5,26
06104052007,0 a 5,56
06104052010,0 a 5,18
06104052014,0 a 5,0
06104052016,0 a 5,0
06104061001,0 a 5,304
06104061002,0 a 5,0
06104062011,0 a 5,27
06104062016,0 a 5,0
06104062901,0 a 5,8
06104071001,0 a 5,156
06104072011,0 a 5,30
06104081001,0 a 5,147
06104081002,0 a 5,10
06104082001,0 a 5,8
06104082009,0 a 5,0
06104082901,0 a 5,0
06104991999,0 a 5,6
06105011001,0 a 5,354
06105011002,0 a 5,113
06105012001,0 a 5,43
06105012002,0 a 5,0
06105012003,0 a 5,16
06105021001,0 a 5,9
06105022003,0 a 5,68
06105022005,0 a 5,43
06105031001,0 a 5,235
06105032004,0 a 5,88
06105041001,0 a 5,416
06105042004,0 a 5,70
06105991999,0 a 5,0
06106011001,0 a 5,332
06106011002,0 a 5,134
06106011003,0 a 5,367
06106011004,0 a 5,170
06106011005,0 a 5,380
06106012001,0 a 5,0
06106012004,0 a 5,19
06106012012,0 a 5,0
06106021001,0 a 5,88
06106022003,0 a 5,15
06106022004,0 a 5,5
06106022006,0 a 5,0
06106022010,0 a 5,47
06106031001,0 a 5,168
06106032005,0 a 5,0
06106032007,0 a 5,23
06106032009,0 a 5,7
06106032011,0 a 5,4
06106041001,0 a 5,487
06106041002,0 a 5,226
06106042001,0 a 5,29
06106042002,0 a 5,0
06106042008,0 a 5,31
06106042011,0 a 5,4
06106042012,0 a 5,16
06106991999,0 a 5,0
06107011001,0 a 5,254
06107011002,0 a 5,291
06107012001,0 a 5,0
06107012008,0 a 5,0
06107012021,0 a 5,6
06107022003,0 a 5,34
06107022007,0 a 5,36
06107022009,0 a 5,81
06107031001,0 a 5,100
06107032005,0 a 5,80
06107032006,0 a 5,20
06107042002,0 a 5,64
06107042016,0 a 5,30
06107042019,0 a 5,0
06107042023,0 a 5,0
06107042024,0 a 5,0
06107052018,0 a 5,28
06107052020,0 a 5,133
06107052022,0 a 5,0
06107062015,0 a 5,4
06107062025,0 a 5,33
06107072013,0 a 5,25
06107082003,0 a 5,47
06107082017,0 a 5,12
06107082021,0 a 5,39
06107091001,0 a 5,0
06107092004,0 a 5,0
06107092006,0 a 5,0
06107092010,0 a 5,50
06107092011,0 a 5,58
06107092012,0 a 5,113
06107102002,0 a 5,17
06107102014,0 a 5,0
06107102024,0 a 5,0
06107991999,0 a 5,17
06108011001,0 a 5,140
06108011002,0 a 5,224
06108012006,0 a 5,0
06108012009,0 a 5,29
06108021001,0 a 5,202
06108021002,0 a 5,327
06108021003,0 a 5,139
06108021004,0 a 5,320
06108021005,0 a 5,179
06108021006,0 a 5,425
06108021007,0 a 5,146
06108021008,0 a 5,233
06108022005,0 a 5,0
06108031001,0 a 5,498
06108031002,0 a 5,385
06108031003,0 a 5,238
06108031004,0 a 5,357
06108031005,0 a 5,202
06108031006,0 a 5,139
06108032005,0 a 5,0
06108042002,0 a 5,0
06108062007,0 a 5,0
06108062901,0 a 5,0
06108071001,0 a 5,0
06108072001,0 a 5,0
06108072004,0 a 5,0
06108072011,0 a 5,0
06108072901,0 a 5,18
06108081001,0 a 5,115
06108082008,0 a 5,0
06108091001,0 a 5,28
06108092003,0 a 5,0
06108092011,0 a 5,11
06108991999,0 a 5,16
06109012016,0 a 5,0
06109021001,0 a 5,166
06109022010,0 a 5,0
06109022012,0 a 5,9
06109022015,0 a 5,0
06109031001,0 a 5,147
06109032008,0 a 5,47
06109032013,0 a 5,42
06109032901,0 a 5,0
06109042002,0 a 5,50
06109042009,0 a 5,0
06109042017,0 a 5,15
06109052001,0 a 5,0
06109052003,0 a 5,0
06109052017,0 a 5,16
06109062001,0 a 5,12
06109062003,0 a 5,13
06109072004,0 a 5,11
06109072007,0 a 5,0
06109072014,0 a 5,13
06109081001,0 a 5,11
06109082005,0 a 5,24
06109082006,0 a 5,102
06109082011,0 a 5,29
06109082012,0 a 5,7
06109991999,0 a 5,0
06110012001,0 a 5,0
06110012007,0 a 5,25
06110012015,0 a 5,0
06110021001,0 a 5,233
06110021002,0 a 5,554
06110021003,0 a 5,215
06110021004,0 a 5,76
06110022001,0 a 5,56
06110022003,0 a 5,0
06110022005,0 a 5,0
06110022012,0 a 5,5
06110022013,0 a 5,11
06110022014,0 a 5,0
06110032002,0 a 5,0
06110032006,0 a 5,12
06110032008,0 a 5,43
06110032009,0 a 5,0
06110032010,0 a 5,26
06110032011,0 a 5,0
06110032016,0 a 5,0
06110041001,0 a 5,240
06110041002,0 a 5,265
06110042004,0 a 5,25
06110042006,0 a 5,19
06110991999,0 a 5,0
06111011001,0 a 5,415
06111011002,0 a 5,40
06111012001,0 a 5,19
06111012002,0 a 5,25
06111021001,0 a 5,163
06111022002,0 a 5,210
06111022003,0 a 5,7
06111031001,0 a 5,85
06111032003,0 a 5,55
06111991999,0 a 5,0
06112011001,0 a 5,337
06112011002,0 a 5,39
06112012005,0 a 5,0
06112021001,0 a 5,103
06112022005,0 a 5,24
06112031001,0 a 5,107
06112032001,0 a 5,0
06112032007,0 a 5,84
06112032008,0 a 5,8
06112041001,0 a 5,21
06112041002,0 a 5,111
06112042002,0 a 5,31
06112042004,0 a 5,0
06112991999,0 a 5,0
06113011001,0 a 5,351
06113012007,0 a 5,0
06113012010,0 a 5,5
06113012011,0 a 5,21
06113012901,0 a 5,5
06113022008,0 a 5,39
06113022009,0 a 5,0
06113022011,0 a 5,23
06113022015,0 a 5,45
06113032001,0 a 5,10
06113032003,0 a 5,23
06113032004,0 a 5,64
06113032019,0 a 5,62
06113042005,0 a 5,85
06113042017,0 a 5,27
06113051001,0 a 5,105
06113051002,0 a 5,101
06113052005,0 a 5,0
06113052006,0 a 5,13
06113052010,0 a 5,13
06113052012,0 a 5,0
06113052013,0 a 5,10
06113062016,0 a 5,61
06113072001,0 a 5,0
06113072003,0 a 5,61
06113072017,0 a 5,18
06113072018,0 a 5,70
06113991999,0 a 5,0
06114011001,0 a 5,132
06114011002,0 a 5,336
06114012003,0 a 5,9
06114012005,0 a 5,29
06114012006,0 a 5,0
06114012009,0 a 5,94
06114012010,0 a 5,0
06114012011,0 a 5,4
06114022004,0 a 5,36
06114022006,0 a 5,115
06114022007,0 a 5,0
06114022012,0 a 5,20
06114031001,0 a 5,17
06114032001,0 a 5,0
06114032007,0 a 5,0
06114032010,0 a 5,7
06114042001,0 a 5,0
06114042002,0 a 5,21
06114042004,0 a 5,5
06114042007,0 a 5,11
06114042008,0 a 5,0
06114991999,0 a 5,6
06115011001,0 a 5,38
06115012007,0 a 5,44
06115012024,0 a 5,0
06115012025,0 a 5,0
06115012034,0 a 5,0
06115012045,0 a 5,0
06115021001,0 a 5,245
06115021002,0 a 5,90
06115022003,0 a 5,0
06115022006,0 a 5,0
06115022901,0 a 5,4
06115032020,0 a 5,0
06115032031,0 a 5,33
06115032901,0 a 5,0
06115041001,0 a 5,238
06115041002,0 a 5,235
06115041003,0 a 5,172
06115041004,0 a 5,182
06115041005,0 a 5,347
06115041006,0 a 5,289
06115041007,0 a 5,154
06115041008,0 a 5,202
06115041009,0 a 5,417
06115042013,0 a 5,0
06115042020,0 a 5,60
06115042028,0 a 5,0
06115042031,0 a 5,0
06115042901,0 a 5,0
06115052009,0 a 5,0
06115052022,0 a 5,14
06115052036,0 a 5,40
06115062004,0 a 5,38
06115062005,0 a 5,43
06115062017,0 a 5,14
06115062901,0 a 5,0
06115072011,0 a 5,0
06115072016,0 a 5,11
06115072019,0 a 5,0
06115072026,0 a 5,88
06115072044,0 a 5,7
06115081001,0 a 5,286
06115082021,0 a 5,0
06115082026,0 a 5,0
06115082032,0 a 5,7
06115082040,0 a 5,4
06115082901,0 a 5,0
06115091001,0 a 5,93
06115092001,0 a 5,0
06115092010,0 a 5,0
06115092027,0 a 5,0
06115092033,0 a 5,6
06115092042,0 a 5,25
06115101001,0 a 5,0
06115102015,0 a 5,0
06115102029,0 a 5,0
06115102030,0 a 5,72
06115102037,0 a 5,51
06115102901,0 a 5,5
06115111001,0 a 5,150
06115112002,0 a 5,5
06115112018,0 a 5,7
06115112023,0 a 5,17
06115112035,0 a 5,0
06115112901,0 a 5,0
06115991999,0 a 5,10
06116011001,0 a 5,310
06116011002,0 a 5,60
06116011003,0 a 5,155
06116012014,0 a 5,116
06116012015,0 a 5,30
06116012016,0 a 5,6
06116012020,0 a 5,8
06116012024,0 a 5,10
06116012026,0 a 5,0
06116022005,0 a 5,0
06116022009,0 a 5,66
06116022016,0 a 5,0
06116031001,0 a 5,289
06116032004,0 a 5,0
06116032006,0 a 5,9
06116032011,0 a 5,75
06116032012,0 a 5,0
06116032019,0 a 5,30
06116042001,0 a 5,4
06116042021,0 a 5,7
06116042901,0 a 5,0
06116052022,0 a 5,35
06116052027,0 a 5,60
06116061001,0 a 5,209
06116061002,0 a 5,78
06116062002,0 a 5,0
06116062003,0 a 5,0
06116062008,0 a 5,15
06116062010,0 a 5,17
06116062013,0 a 5,0
06116062017,0 a 5,20
06116062018,0 a 5,78
06116062023,0 a 5,61
06116062025,0 a 5,0
06116991999,0 a 5,10
06117011001,0 a 5,224
06117011002,0 a 5,111
06117011003,0 a 5,250
06117011004,0 a 5,409
06117011005,0 a 5,330
06117012001,0 a 5,23
06117012014,0 a 5,22
06117012030,0 a 5,29
06117012037,0 a 5,0
06117012039,0 a 5,0
06117021001,0 a 5,0
06117021002,0 a 5,65
06117022025,0 a 5,0
06117031001,0 a 5,83
06117031002,0 a 5,76
06117032003,0 a 5,4
06117032006,0 a 5,54
06117032009,0 a 5,67
06117032024,0 a 5,0
06117032030,0 a 5,12
06117042002,0 a 5,0
06117042008,0 a 5,0
06117042016,0 a 5,16
06117042026,0 a 5,66
06117042029,0 a 5,35
06117052003,0 a 5,0
06117052004,0 a 5,0
06117052008,0 a 5,0
06117052015,0 a 5,14
06117052023,0 a 5,0
06117052028,0 a 5,11
06117052031,0 a 5,20
06117062007,0 a 5,14
06117062010,0 a 5,16
06117062012,0 a 5,26
06117062017,0 a 5,48
06117072007,0 a 5,0
06117072013,0 a 5,30
06117072020,0 a 5,57
06117072021,0 a 5,0
06117072901,0 a 5,9
06117082001,0 a 5,58
06117082021,0 a 5,96
06117092020,0 a 5,15
06117092035,0 a 5,32
06117092037,0 a 5,76
06117092901,0 a 5,32
06117102035,0 a 5,59
06117102036,0 a 5,40
06117102038,0 a 5,36
06117102039,0 a 5,8
06117112018,0 a 5,4
06117112019,0 a 5,9
06117112032,0 a 5,36
06117112033,0 a 5,13
06117112034,0 a 5,0
06117121001,0 a 5,50
06117121002,0 a 5,0
06117122005,0 a 5,16
06117122011,0 a 5,23
06117122027,0 a 5,51
06117991999,0 a 5,6
06201011001,0 a 5,64
06201011002,0 a 5,80
06201011003,0 a 5,15
06201011004,0 a 5,128
06201011005,0 a 5,100
06201011006,0 a 5,19
06201011007,0 a 5,132
06201012003,0 a 5,15
06201012004,0 a 5,0
06201012005,0 a 5,51
06201012007,0 a 5,0
06201012015,0 a 5,0
06201012016,0 a 5,0
06201012017,0 a 5,0
06201012018,0 a 5,7
06201012022,0 a 5,0
06201012024,0 a 5,16
06201012025,0 a 5,41
06201012026,0 a 5,12
06201012901,0 a 5,0
06201022020,0 a 5,0
06201022028,0 a 5,0
06201022901,0 a 5,12
06201032001,0 a 5,0
06201032006,0 a 5,30
06201032008,0 a 5,7
06201032029,0 a 5,0
06201032901,0 a 5,0
06201042010,0 a 5,0
06201042015,0 a 5,0
06201052901,0 a 5,0
06201062002,0 a 5,0
06201062009,0 a 5,0
06201062011,0 a 5,0
06201062012,0 a 5,0
06201062014,0 a 5,0
06201062027,0 a 5,0
06201991999,0 a 5,12
06202011001,0 a 5,40
06202012004,0 a 5,0
06202012007,0 a 5,0
06202012008,0 a 5,0
06202012009,0 a 5,0
06202012010,0 a 5,0
06202012019,0 a 5,0
06202012022,0 a 5,4
06202012025,0 a 5,0
06202012027,0 a 5,0
06202012029,0 a 5,0
06202012901,0 a 5,0
06202022001,0 a 5,0
06202022005,0 a 5,0
06202022006,0 a 5,7
06202022011,0 a 5,8
06202022016,0 a 5,0
06202022018,0 a 5,6
06202022026,0 a 5,0
06202022028,0 a 5,0
06202022031,0 a 5,0
06202022034,0 a 5,0
06202022901,0 a 5,0
06202032008,0 a 5,7
06202032021,0 a 5,0
06202032031,0 a 5,0
06202032032,0 a 5,0
06202032033,0 a 5,0
06202042003,0 a 5,0
06202042019,0 a 5,0
06202042023,0 a 5,0
06202042035,0 a 5,0
06202042901,0 a 5,19
06202991999,0 a 5,0
06203011001,0 a 5,131
06203012002,0 a 5,0
06203012010,0 a 5,5
06203012019,0 a 5,5
06203012020,0 a 5,9
06203012901,0 a 5,0
06203022017,0 a 5,0
06203022018,0 a 5,0
06203022022,0 a 5,0
06203022901,0 a 5,15
06203032004,0 a 5,4
06203032011,0 a 5,0
06203032014,0 a 5,9
06203032015,0 a 5,0
06203032023,0 a 5,0
06203032901,0 a 5,10
06203041001,0 a 5,36
06203042005,0 a 5,0
06203042007,0 a 5,0
06203042019,0 a 5,0
06203042901,0 a 5,0
06203052006,0 a 5,0
06203062006,0 a 5,0
06203062012,0 a 5,0
06203062013,0 a 5,0
06203062021,0 a 5,0
06203072001,0 a 5,0
06203072016,0 a 5,56
06203991999,0 a 5,0
06204011001,0 a 5,102
06204012002,0 a 5,5
06204012003,0 a 5,0
06204012005,0 a 5,0
06204012006,0 a 5,13
06204012007,0 a 5,35
06204012011,0 a 5,9
06204012012,0 a 5,5
06204021001,0 a 5,54
06204022001,0 a 5,4
06204022006,0 a 5,0
06204022007,0 a 5,0
06204022008,0 a 5,51
06204022009,0 a 5,30
06204022010,0 a 5,0
06204032001,0 a 5,0
06204032004,0 a 5,9
06204991999,0 a 5,0
06205012007,0 a 5,0
06205012013,0 a 5,0
06205012021,0 a 5,0
06205012025,0 a 5,57
06205012026,0 a 5,8
06205012028,0 a 5,0
06205012901,0 a 5,0
06205022004,0 a 5,7
06205022007,0 a 5,0
06205022010,0 a 5,0
06205022016,0 a 5,12
06205022021,0 a 5,0
06205022027,0 a 5,0
06205022032,0 a 5,20
06205022901,0 a 5,0
06205032001,0 a 5,0
06205032005,0 a 5,10
06205032008,0 a 5,44
06205032009,0 a 5,0
06205032015,0 a 5,0
06205032018,0 a 5,10
06205032019,0 a 5,56
06205032901,0 a 5,0
06205042001,0 a 5,0
06205042002,0 a 5,0
06205042003,0 a 5,0
06205042009,0 a 5,0
06205042012,0 a 5,0
06205042014,0 a 5,11
06205042017,0 a 5,0
06205042018,0 a 5,0
06205042023,0 a 5,13
06205042031,0 a 5,0
06205042901,0 a 5,24
06205052002,0 a 5,0
06205052003,0 a 5,10
06205052006,0 a 5,7
06205052011,0 a 5,4
06205052017,0 a 5,0
06205052022,0 a 5,4
06205052029,0 a 5,22
06205052030,0 a 5,0
06205992999,0 a 5,0
06206011001,0 a 5,73
06206012017,0 a 5,0
06206012019,0 a 5,0
06206012027,0 a 5,7
06206012033,0 a 5,0
06206012901,0 a 5,0
06206022002,0 a 5,0
06206022003,0 a 5,0
06206022007,0 a 5,0
06206022009,0 a 5,5
06206022010,0 a 5,0
06206022015,0 a 5,5
06206022020,0 a 5,0
06206022024,0 a 5,9
06206022026,0 a 5,0
06206022032,0 a 5,4
06206022033,0 a 5,0
06206022901,0 a 5,0
06206032004,0 a 5,0
06206032016,0 a 5,0
06206032018,0 a 5,0
06206032023,0 a 5,0
06206032901,0 a 5,0
06206042008,0 a 5,8
06206042011,0 a 5,13
06206042012,0 a 5,7
06206042030,0 a 5,0
06206042901,0 a 5,0
06206052005,0 a 5,4
06206052006,0 a 5,0
06206052010,0 a 5,0
06206052022,0 a 5,0
06206052025,0 a 5,0
06206052029,0 a 5,5
06206052031,0 a 5,0
06206052035,0 a 5,23
06206991999,0 a 5,0
06301011001,0 a 5,72
06301011002,0 a 5,183
06301011003,0 a 5,166
06301011004,0 a 5,369
06301011005,0 a 5,323
06301011006,0 a 5,359
06301011007,0 a 5,130
06301011008,0 a 5,190
06301011009,0 a 5,191
06301011010,0 a 5,167
06301012016,0 a 5,18
06301012023,0 a 5,0
06301021001,0 a 5,34
06301021002,0 a 5,117
06301021003,0 a 5,37
06301022004,0 a 5,15
06301022005,0 a 5,0
06301022015,0 a 5,0
06301022018,0 a 5,57
06301022026,0 a 5,0
06301022901,0 a 5,0
06301031001,0 a 5,19
06301032013,0 a 5,42
06301032015,0 a 5,0
06301032018,0 a 5,0
06301032022,0 a 5,108
06301041001,0 a 5,8
06301042008,0 a 5,0
06301042009,0 a 5,0
06301042012,0 a 5,52
06301042021,0 a 5,73
06301042901,0 a 5,26
06301051001,0 a 5,30
06301052017,0 a 5,70
06301062025,0 a 5,36
06301062901,0 a 5,0
06301072001,0 a 5,0
06301081001,0 a 5,62
06301082001,0 a 5,0
06301082011,0 a 5,0
06301091001,0 a 5,65
06301092007,0 a 5,6
06301092019,0 a 5,21
06301092901,0 a 5,0
06301102003,0 a 5,0
06301102010,0 a 5,0
06301102024,0 a 5,6
06301111001,0 a 5,169
06301111002,0 a 5,340
06301111003,0 a 5,147
06301111004,0 a 5,469
06301112023,0 a 5,29
06301121001,0 a 5,271
06301121002,0 a 5,125
06301122023,0 a 5,8
06301131001,0 a 5,132
06301991999,0 a 5,13
06302011001,0 a 5,239
06302011002,0 a 5,157
06302012002,0 a 5,0
06302012006,0 a 5,22
06302012010,0 a 5,0
06302012011,0 a 5,0
06302012013,0 a 5,5
06302012016,0 a 5,53
06302012019,0 a 5,10
06302012020,0 a 5,5
06302012023,0 a 5,0
06302012034,0 a 5,25
06302021001,0 a 5,172
06302022001,0 a 5,0
06302022020,0 a 5,0
06302022028,0 a 5,39
06302022031,0 a 5,6
06302032004,0 a 5,0
06302032007,0 a 5,0
06302032010,0 a 5,4
06302032014,0 a 5,0
06302032015,0 a 5,0
06302032901,0 a 5,0
06302042003,0 a 5,0
06302042017,0 a 5,15
06302042018,0 a 5,0
06302042024,0 a 5,11
06302042027,0 a 5,0
06302042901,0 a 5,0
06302052005,0 a 5,0
06302052006,0 a 5,0
06302052008,0 a 5,0
06302052022,0 a 5,113
06302052026,0 a 5,0
06302052029,0 a 5,0
06302052030,0 a 5,4
06302052032,0 a 5,0
06302052033,0 a 5,0
06302052901,0 a 5,6
06302991999,0 a 5,0
06303011001,0 a 5,330
06303011002,0 a 5,238
06303011003,0 a 5,68
06303012003,0 a 5,0
06303012021,0 a 5,6
06303021001,0 a 5,104
06303021002,0 a 5,36
06303021003,0 a 5,61
06303022001,0 a 5,5
06303022002,0 a 5,11
06303022007,0 a 5,0
06303022029,0 a 5,0
06303022033,0 a 5,8
06303022901,0 a 5,0
06303032004,0 a 5,0
06303032010,0 a 5,10
06303032026,0 a 5,28
06303032029,0 a 5,34
06303032034,0 a 5,63
06303032035,0 a 5,21
06303042004,0 a 5,74
06303042011,0 a 5,27
06303042025,0 a 5,0
06303052014,0 a 5,0
06303052023,0 a 5,99
06303061001,0 a 5,320
06303062005,0 a 5,6
06303062006,0 a 5,0
06303062009,0 a 5,0
06303062018,0 a 5,24
06303062023,0 a 5,0
06303062032,0 a 5,4
06303062901,0 a 5,0
06303071001,0 a 5,0
06303071002,0 a 5,0
06303072013,0 a 5,4
06303072021,0 a 5,0
06303072022,0 a 5,0
06303072028,0 a 5,12
06303072032,0 a 5,13
06303072901,0 a 5,9
06303081001,0 a 5,107
06303081002,0 a 5,22
06303082027,0 a 5,0
06303082029,0 a 5,10
06303082036,0 a 5,34
06303091001,0 a 5,12
06303092019,0 a 5,18
06303092024,0 a 5,36
06303092029,0 a 5,14
06303092036,0 a 5,0
06303092037,0 a 5,0
06303101001,0 a 5,7
06303101003,0 a 5,0
06303102003,0 a 5,0
06303102026,0 a 5,34
06303102029,0 a 5,0
06303102034,0 a 5,9
06303102901,0 a 5,0
06303111001,0 a 5,8
06303112003,0 a 5,26
06303112008,0 a 5,0
06303112011,0 a 5,7
06303112014,0 a 5,24
06303112023,0 a 5,0
06303112025,0 a 5,4
06303112026,0 a 5,0
06303122015,0 a 5,15
06303122016,0 a 5,43
06303991999,0 a 5,0
06304011001,0 a 5,107
06304012004,0 a 5,0
06304012006,0 a 5,0
06304012010,0 a 5,0
06304012014,0 a 5,14
06304012015,0 a 5,0
06304012018,0 a 5,7
06304012020,0 a 5,0
06304012022,0 a 5,10
06304012901,0 a 5,0
06304022001,0 a 5,0
06304022003,0 a 5,58
06304022008,0 a 5,0
06304022010,0 a 5,0
06304022013,0 a 5,16
06304022015,0 a 5,0
06304022019,0 a 5,0
06304032002,0 a 5,13
06304032005,0 a 5,4
06304032008,0 a 5,0
06304032011,0 a 5,5
06304032012,0 a 5,0
06304042009,0 a 5,0
06304042016,0 a 5,14
06304042017,0 a 5,0
06304042020,0 a 5,0
06304042021,0 a 5,9
06304991999,0 a 5,5
06305011001,0 a 5,355
06305011002,0 a 5,191
06305012004,0 a 5,4
06305012011,0 a 5,9
06305012014,0 a 5,21
06305012015,0 a 5,0
06305012016,0 a 5,0
06305022007,0 a 5,12
06305022024,0 a 5,31
06305032001,0 a 5,0
06305032010,0 a 5,0
06305032014,0 a 5,41
06305032016,0 a 5,0
06305032017,0 a 5,0
06305042004,0 a 5,0
06305042009,0 a 5,10
06305042013,0 a 5,14
06305042016,0 a 5,0
06305042017,0 a 5,49
06305042018,0 a 5,65
06305042901,0 a 5,0
06305051001,0 a 5,156
06305052002,0 a 5,0
06305052003,0 a 5,4
06305052019,0 a 5,61
06305052020,0 a 5,0
06305052021,0 a 5,4
06305052901,0 a 5,4
06305062022,0 a 5,0
06305062023,0 a 5,0
06305991999,0 a 5,0
06306011001,0 a 5,148
06306012012,0 a 5,25
06306012015,0 a 5,20
06306012901,0 a 5,0
06306022002,0 a 5,0
06306022003,0 a 5,6
06306022004,0 a 5,0
06306022007,0 a 5,0
06306022011,0 a 5,0
06306022014,0 a 5,11
06306022016,0 a 5,12
06306022018,0 a 5,0
06306022022,0 a 5,0
06306031001,0 a 5,57
06306032001,0 a 5,46
06306032005,0 a 5,43
06306032006,0 a 5,0
06306032021,0 a 5,15
06306032027,0 a 5,39
06306042008,0 a 5,7
06306042009,0 a 5,24
06306042010,0 a 5,27
06306042011,0 a 5,25
06306042016,0 a 5,7
06306042017,0 a 5,33
06306052006,0 a 5,0
06306052013,0 a 5,0
06306052019,0 a 5,32
06306052021,0 a 5,6
06306052023,0 a 5,16
06306052024,0 a 5,90
06306052025,0 a 5,0
06306052026,0 a 5,37
06306052901,0 a 5,0
06306991999,0 a 5,0
06307011001,0 a 5,159
06307011002,0 a 5,123
06307012001,0 a 5,0
06307012004,0 a 5,0
06307012005,0 a 5,0
06307012008,0 a 5,7
06307012009,0 a 5,15
06307012015,0 a 5,0
06307021001,0 a 5,51
06307022003,0 a 5,0
06307022010,0 a 5,10
06307022011,0 a 5,37
06307022016,0 a 5,17
06307032001,0 a 5,36
06307032002,0 a 5,34
06307032005,0 a 5,0
06307032017,0 a 5,13
06307042006,0 a 5,9
06307042007,0 a 5,0
06307042012,0 a 5,0
06307042013,0 a 5,0
06307042014,0 a 5,22
06307991999,0 a 5,0
06308011001,0 a 5,152
06308012001,0 a 5,11
06308012002,0 a 5,6
06308012008,0 a 5,0
06308012012,0 a 5,8
06308012013,0 a 5,19
06308022003,0 a 5,0
06308022006,0 a 5,0
06308022007,0 a 5,38
06308032005,0 a 5,24
06308032009,0 a 5,69
06308032010,0 a 5,71
06308032011,0 a 5,15
06308032013,0 a 5,0
06308042004,0 a 5,78
06308042005,0 a 5,23
06308042011,0 a 5,7
06308042012,0 a 5,0
06308991999,0 a 5,0
06309012004,0 a 5,16
06309012005,0 a 5,0
06309012006,0 a 5,0
06309012008,0 a 5,0
06309012009,0 a 5,0
06309012017,0 a 5,49
06309022001,0 a 5,4
06309022002,0 a 5,0
06309022003,0 a 5,15
06309022010,0 a 5,0
06309022011,0 a 5,0
06309022015,0 a 5,5
06309022018,0 a 5,0
06309022019,0 a 5,0
06309022020,0 a 5,0
06309032006,0 a 5,0
06309032007,0 a 5,0
06309032012,0 a 5,0
06309032014,0 a 5,30
06309042006,0 a 5,0
06309042013,0 a 5,0
06309042022,0 a 5,0
06309042901,0 a 5,0
