geocodigo,edad,poblacion
01404082901,0 a 5,0
01404991999,0 a 5,0
01405011001,0 a 5,234
01405012008,0 a 5,71
01405012010,0 a 5,0
01405012014,0 a 5,0
01405012901,0 a 5,9
01405022003,0 a 5,0
01405022012,0 a 5,0
01405022901,0 a 5,0
01405032001,0 a 5,0
01405032009,0 a 5,0
01405042002,0 a 5,0
01405042009,0 a 5,0
01405991999,0 a 5,0
02101011001,0 a 5,266
02101011002,0 a 5,208
02101011003,0 a 5,439
02101011004,0 a 5,532
02101011005,0 a 5,180
02101011006,0 a 5,105
02101011008,0 a 5,593
02101011009,0 a 5,488
02101011010,0 a 5,357
02101011011,0 a 5,134
02101011012,0 a 5,346
02101011013,0 a 5,297
02101011014,0 a 5,453
02101011015,0 a 5,200
02101011016,0 a 5,98
02101011017,0 a 5,398
02101011018,0 a 5,475
02101011019,0 a 5,206
02101011020,0 a 5,210
02101011021,0 a 5,206
02101011022,0 a 5,197
02101012001,0 a 5,0
02101012005,0 a 5,5
02101012012,0 a 5,0
02101012013,0 a 5,0
02101012901,0 a 5,0
02101021001,0 a 5,239
02101021002,0 a 5,313
02101021003,0 a 5,189
02101021004,0 a 5,299
02101021005,0 a 5,478
02101031001,0 a 5,263
02101031002,0 a 5,134
02101031003,0 a 5,111
02101031004,0 a 5,167
02101031005,0 a 5,125
02101031006,0 a 5,214
02101041001,0 a 5,252
02101041002,0 a 5,262
02101041003,0 a 5,173
02101041004,0 a 5,225
02101041005,0 a 5,374
02101051001,0 a 5,257
02101051002,0 a 5,395
02101051003,0 a 5,342
02101061001,0 a 5,201
02101061002,0 a 5,146
02101061003,0 a 5,167
02101071001,0 a 5,207
02101071002,0 a 5,192
02101071003,0 a 5,534
02101071004,0 a 5,183
02101071005,0 a 5,254
02101081001,0 a 5,167
02101081002,0 a 5,233
02101081003,0 a 5,212
02101081004,0 a 5,161
02101091001,0 a 5,90
02101091002,0 a 5,135
02101091003,0 a 5,158
02101091004,0 a 5,215
02101091005,0 a 5,160
02101091006,0 a 5,562
02101091007,0 a 5,128
02101091008,0 a 5,162
02101091009,0 a 5,75
02101091010,0 a 5,202
02101101001,0 a 5,274
02101101002,0 a 5,112
02101101003,0 a 5,239
02101102003,0 a 5,0
02101102004,0 a 5,0
02101102007,0 a 5,43
02101102014,0 a 5,0
02101102016,0 a 5,0
02101102017,0 a 5,0
02101102901,0 a 5,0
02101112009,0 a 5,0
02101112010,0 a 5,0
02101112011,0 a 5,0
02101122008,0 a 5,0
02101122014,0 a 5,17
02101122019,0 a 5,0
02101132020,0 a 5,0
02101141001,0 a 5,561
02101141002,0 a 5,517
02101141003,0 a 5,246
02101141004,0 a 5,281
02101141005,0 a 5,345
02101141006,0 a 5,390
02101141007,0 a 5,218
02101141008,0 a 5,213
02101141009,0 a 5,441
02101151001,0 a 5,195
02101151002,0 a 5,221
02101151003,0 a 5,295
02101151004,0 a 5,866
02101161001,0 a 5,245
02101161002,0 a 5,251
02101161003,0 a 5,122
02101161004,0 a 5,138
02101161005,0 a 5,330
02101171001,0 a 5,232
02101171002,0 a 5,319
02101171003,0 a 5,260
02101171004,0 a 5,431
02101181001,0 a 5,331
02101181002,0 a 5,330
02101181003,0 a 5,287
02101181004,0 a 5,323
02101991999,0 a 5,188
02102011001,0 a 5,241
02102011002,0 a 5,553
02102012001,0 a 5,0
02102012011,0 a 5,0
02102022002,0 a 5,0
02102022003,0 a 5,19
02102022006,0 a 5,12
02102022007,0 a 5,0
02102022008,0 a 5,0
02102022901,0 a 5,0
02102991999,0 a 5,5
02103012003,0 a 5,0
02103012008,0 a 5,0
02103012901,0 a 5,0
02103022006,0 a 5,0
02103022007,0 a 5,0
02103022008,0 a 5,0
02103032002,0 a 5,84
02103042001,0 a 5,0
02103042005,0 a 5,0
02103992999,0 a 5,0
02104011001,0 a 5,131
02104012003,0 a 5,0
02104012007,0 a 5,0
02104012008,0 a 5,0
02104012009,0 a 5,0
02104012014,0 a 5,0
02104012016,0 a 5,0
02104012017,0 a 5,0
02104012901,0 a 5,0
02104021001,0 a 5,215
02104022015,0 a 5,0
02104022022,0 a 5,0
02104022901,0 a 5,0
02104031001,0 a 5,444
02104032005,0 a 5,0
02104032010,0 a 5,0
02104032025,0 a 5,0
02104032901,0 a 5,0
02104042020,0 a 5,29
02104052011,0 a 5,0
02104052019,0 a 5,0
02104052026,0 a 5,0
02104052027,0 a 5,0
02104072901,0 a 5,0
02104082013,0 a 5,0
02104092002,0 a 5,0
02104092012,0 a 5,0
02104991999,0 a 5,17
02201011001,0 a 5,135
02201011002,0 a 5,148
02201011003,0 a 5,467
02201011004,0 a 5,120
02201022005,0 a 5,0
02201032006,0 a 5,0
02201032013,0 a 5,0
02201051001,0 a 5,260
02201051002,0 a 5,218
02201051003,0 a 5,271
02201052005,0 a 5,0
02201061001,0 a 5,400
02201061002,0 a 5,229
02201071001,0 a 5,453
02201071002,0 a 5,298
02201071003,0 a 5,129
02201071004,0 a 5,249
02201071005,0 a 5,88
02201072002,0 a 5,0
02201081001,0 a 5,598
02201081002,0 a 5,211
02201081003,0 a 5,194
02201082002,0 a 5,170
02201082012,0 a 5,4
02201091001,0 a 5,112
02201091002,0 a 5,129
02201091003,0 a 5,526
02201091004,0 a 5,385
02201091005,0 a 5,524
02201101001,0 a 5,179
02201101002,0 a 5,221
02201111001,0 a 5,308
02201111002,0 a 5,534
02201111003,0 a 5,599
02201111004,0 a 5,225
02201111005,0 a 5,469
02201111006,0 a 5,252
02201111007,0 a 5,251
02201121001,0 a 5,292
02201121002,0 a 5,509
02201121003,0 a 5,433
02201121004,0 a 5,326
02201122002,0 a 5,10
02201122005,0 a 5,0
02201131001,0 a 5,0
02201132004,0 a 5,57
02201132010,0 a 5,0
02201132901,0 a 5,0
02201141001,0 a 5,186
02201141002,0 a 5,148
02201142002,0 a 5,8
02201152001,0 a 5,0
02201152003,0 a 5,5
02201152009,0 a 5,0
02201152014,0 a 5,7
02201152015,0 a 5,0
02201152901,0 a 5,0
02201991999,0 a 5,53
02202012003,0 a 5,0
02202012004,0 a 5,0
02202012005,0 a 5,20
02202012006,0 a 5,0
02202012007,0 a 5,0
02202022001,0 a 5,0
02202022002,0 a 5,0
02203011001,0 a 5,222
02203012013,0 a 5,0
02203012014,0 a 5,160
02203012018,0 a 5,0
02203012901,0 a 5,0
02203022008,0 a 5,10
02203022011,0 a 5,0
02203022016,0 a 5,4
02203022017,0 a 5,48
02203032009,0 a 5,0
02203032012,0 a 5,14
02203032015,0 a 5,24
02203991999,0 a 5,6
02301011001,0 a 5,98
02301021001,0 a 5,213
02301031001,0 a 5,158
02301031002,0 a 5,186
02301031003,0 a 5,103
02301031004,0 a 5,202
02301031005,0 a 5,95
02301031006,0 a 5,255
02301032002,0 a 5,0
02301032003,0 a 5,0
02301032005,0 a 5,0
02301032006,0 a 5,7
02301032015,0 a 5,0
02301032018,0 a 5,4
02301032020,0 a 5,0
02301032023,0 a 5,0
02301032901,0 a 5,0
02301042010,0 a 5,0
02301042901,0 a 5,0
02301052001,0 a 5,0
02301052004,0 a 5,0
02301052007,0 a 5,0
02301052008,0 a 5,0
02301052011,0 a 5,0
02301052012,0 a 5,0
02301052016,0 a 5,0
02301052019,0 a 5,0
02301052021,0 a 5,0
02301052024,0 a 5,0
02301052901,0 a 5,8
02301061001,0 a 5,69
02301061003,0 a 5,38
02301061004,0 a 5,512
02301062022,0 a 5,0
02301991999,0 a 5,6
02302012011,0 a 5,18
02302012901,0 a 5,0
02302032006,0 a 5,0
02302041001,0 a 5,21
02302041002,0 a 5,112
02302042003,0 a 5,0
02302042004,0 a 5,0
02302052002,0 a 5,0
02302062001,0 a 5,0
02302062009,0 a 5,0
02302991999,0 a 5,0
03101011001,0 a 5,27
03101021001,0 a 5,69
03101031001,0 a 5,37
03101041001,0 a 5,73
03101051001,0 a 5,41
03101061001,0 a 5,361
03101061002,0 a 5,151
03101061003,0 a 5,313
03101061004,0 a 5,413
03101061005,0 a 5,236
03101061006,0 a 5,132
03101061007,0 a 5,370
03101061008,0 a 5,208
03101061009,0 a 5,377
03101071001,0 a 5,94
03101071002,0 a 5,165
03101081001,0 a 5,75
03101091001,0 a 5,289
03101092006,0 a 5,0
03101092041,0 a 5,0
03101101001,0 a 5,0
03101102901,0 a 5,0
03101111001,0 a 5,240
03101111002,0 a 5,105
03101111003,0 a 5,409
03101122002,0 a 5,0
03101122003,0 a 5,0
03101122006,0 a 5,0
03101122007,0 a 5,0
03101122012,0 a 5,0
03101122013,0 a 5,25
03101122024,0 a 5,0
03101122025,0 a 5,0
03101122047,0 a 5,0
03101122901,0 a 5,0
03101132001,0 a 5,0
03101132011,0 a 5,0
03101132029,0 a 5,0
03101132030,0 a 5,0
03101132038,0 a 5,0
03101132048,0 a 5,0
03101132901,0 a 5,0
03101142022,0 a 5,0
03101142029,0 a 5,0
03101142031,0 a 5,0
03101152009,0 a 5,0
03101161001,0 a 5,226
03101161002,0 a 5,435
03101161003,0 a 5,303
03101161004,0 a 5,305
03101162006,0 a 5,0
03101162050,0 a 5,0
03101172010,0 a 5,0
03101172013,0 a 5,23
03101172017,0 a 5,14
03101172021,0 a 5,0
03101172026,0 a 5,9
03101172035,0 a 5,26
03101172037,0 a 5,91
03101172901,0 a 5,0
03101182004,0 a 5,0
03101182005,0 a 5,0
03101182008,0 a 5,0
03101182040,0 a 5,0
03101182045,0 a 5,0
03101182901,0 a 5,0
03101192014,0 a 5,0
03101192027,0 a 5,0
03101192032,0 a 5,0
03101192033,0 a 5,0
03101192901,0 a 5,0
03101202028,0 a 5,0
03101202032,0 a 5,0
03101202034,0 a 5,0
03101211001,0 a 5,418
